correct,verb,item,condition,sentence,structure,subcondition,order,relation,logical_truth,item1,item2,item1_type,item2_type,tribe,feedback_correct,feedback_incorrect,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,SESSION,PARTICIPANT,JATOS_STUDY_RESULT_ID,JATOS_STUDY_RESULT_UUID,JATOS_WORKER_ID,JATOS_START_DATE,JATOS_END_DATE,JATOS_DURATION,JATOS_STUDY_STATE,PROLIFIC_STUDY_ID,PROLIFIC_SESSION_ID,STIMULUS_CORRECT,STIMULUS_LOGICAL_TRUTH,STIMULUS_CONDITION,STIMULUS_SUBCONDITION,STIMULUS_ORDER
Y,prefer,PD61,PREFER_DIFFERENT,Lisa-the-Urbanite prefers to eat a cookie rather than a steak,preference,wants_vs_accepts,AB,gt,Y,a cookie,a steak,wants,accepts,Urbanite,,,2254,a cookie rather than a steak,b,html-keyboard-response,488,2.1.0,845678,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,PREFER_DIFFERENT,wants_vs_accepts,AB
N,prefer,PS86,PREFER_SAME,Nancy-the-Nomad prefers to eat a hotdog rather than a meatloaf,preference,accepts_vs_accepts,AB,eq,N,a hotdog,a meatloaf,accepts,accepts,Nomad,,,1722,a hotdog rather than a meatloaf,n,html-keyboard-response,493,2.1.0,849909,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_SAME,accepts_vs_accepts,AB
Y,prefer,PD60,PREFER_DIFFERENT,Mary-the-Urbanite prefers to eat a chocolate rather than beef,preference,wants_vs_accepts,AB,gt,Y,a chocolate,beef,wants,accepts,Urbanite,,,1613,a chocolate rather than beef,b,html-keyboard-response,498,2.1.0,854029,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,PREFER_DIFFERENT,wants_vs_accepts,AB
Y,want,SC8,SINGLE_CONTROL,William-the-Urbanite wants to eat a donut,single,wants,single,,Y,a donut,,wants,,Urbanite,,,1260,a donut,b,html-keyboard-response,503,2.1.0,857797,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,SINGLE_CONTROL,wants,single
Y/N,want,EX93,EXPERIMENTAL,Andrew-the-Urbanite wants to eat an apple or a lollipop,disjunction,wants|dislikes,BA,,NA,an apple,a lollipop,dislikes,wants,Urbanite,,,2330,an apple or a lollipop,n,html-keyboard-response,508,2.1.0,862636,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|dislikes,BA
Y,prefer,PD62,PREFER_DIFFERENT,Kimberly-the-Urbanite prefers to eat a biscuit rather than a burger,preference,wants_vs_accepts,AB,gt,Y,a biscuit,a burger,wants,accepts,Urbanite,,,2341,a biscuit rather than a burger,b,html-keyboard-response,513,2.1.0,867486,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,PREFER_DIFFERENT,wants_vs_accepts,AB
N,want,DC24,DOUBLE_CONTROL,Joshua-the-Urbanite wants to eat a sausage or a meatball,disjunction,accepts|accepts,AB,,N,a sausage,a meatball,accepts,accepts,Urbanite,,,1343,a sausage or a meatball,n,html-keyboard-response,518,2.1.0,871338,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,accepts|accepts,AB
N,prefer,PD58,PREFER_DIFFERENT,Anthony-the-Urbanite prefers to eat a mango rather than pork,preference,dislikes_vs_accepts,BA,lt,N,a mango,pork,dislikes,accepts,Urbanite,,,1917,a mango rather than pork,n,html-keyboard-response,523,2.1.0,875764,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
N,want,SC5,SINGLE_CONTROL,Elizabeth-the-Urbanite wants to eat a meatloaf,single,accepts,single,,N,a meatloaf,,accepts,,Urbanite,,,1849,a meatloaf,b,html-keyboard-response,528,2.1.0,880122,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,SINGLE_CONTROL,accepts,single
N,prefer,PD77,PREFER_DIFFERENT,Paul-the-Nomad prefers to eat a hotdog rather than a mango,preference,accepts_vs_wants,BA,lt,N,a hotdog,a mango,accepts,wants,Nomad,,,1873,a hotdog rather than a mango,n,html-keyboard-response,533,2.1.0,884501,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,accepts_vs_wants,BA
N,want,DC37,DOUBLE_CONTROL,Paul-the-Nomad wants to eat caramel or a muffin,disjunction,dislikes|dislikes,AB,,N,caramel,a muffin,dislikes,dislikes,Nomad,,,1744,caramel or a muffin,n,html-keyboard-response,538,2.1.0,888754,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,dislikes|dislikes,AB
N,prefer,PS81,PREFER_SAME,Michael-the-Urbanite prefers to eat a cookie rather than a chocolate,preference,wants_vs_wants,AB,eq,N,a cookie,a chocolate,wants,wants,Urbanite,,,2064,a cookie rather than a chocolate,n,html-keyboard-response,543,2.1.0,893325,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_SAME,wants_vs_wants,AB
Y,want,DC31,DOUBLE_CONTROL,Jessica-the-Urbanite wants to eat a cookie or a chocolate,disjunction,wants|wants,AB,,Y,a cookie,a chocolate,wants,wants,Urbanite,,,2069,a cookie or a chocolate,b,html-keyboard-response,548,2.1.0,897902,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,DOUBLE_CONTROL,wants|wants,AB
Y/N,want,EX107,EXPERIMENTAL,Betty-the-Nomad wants to eat caramel or a mango,disjunction,wants|dislikes,BA,,NA,caramel,a mango,dislikes,wants,Nomad,,,2150,caramel or a mango,n,html-keyboard-response,553,2.1.0,902560,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|dislikes,BA
N,want,DC18,DOUBLE_CONTROL,Anthony-the-Urbanite wants to eat a plum or a mango,disjunction,dislikes|dislikes,AB,,N,a plum,a mango,dislikes,dislikes,Urbanite,,,1459,a plum or a mango,n,html-keyboard-response,558,2.1.0,906528,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,dislikes|dislikes,AB
Y,want,DC33,DOUBLE_CONTROL,Richard-the-Urbanite wants to eat a biscuit or a lollipop,disjunction,wants|wants,BA,,Y,a biscuit,a lollipop,wants,wants,Urbanite,,,2393,a biscuit or a lollipop,b,html-keyboard-response,563,2.1.0,911429,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,DOUBLE_CONTROL,wants|wants,BA
N,want,SC1,SINGLE_CONTROL,Michael-the-Urbanite wants to eat a grapefruit,single,dislikes,single,,N,a grapefruit,,dislikes,,Urbanite,,,1395,a grapefruit,n,html-keyboard-response,568,2.1.0,915332,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,SINGLE_CONTROL,dislikes,single
N,want,DC27,DOUBLE_CONTROL,Betty-the-Urbanite wants to eat a hotdog or ribs,disjunction,accepts|accepts,BA,,N,a hotdog,ribs,accepts,accepts,Urbanite,,,1435,a hotdog or ribs,b,html-keyboard-response,573,2.1.0,919276,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,accepts|accepts,BA
N,want,DC43,DOUBLE_CONTROL,Dorothy-the-Nomad wants to eat a meatball or a kebab,disjunction,accepts|accepts,AB,,N,a meatball,a kebab,accepts,accepts,Nomad,,,1454,a meatball or a kebab,b,html-keyboard-response,578,2.1.0,923237,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,accepts|accepts,AB
N,want,SC12,SINGLE_CONTROL,Linda-the-Nomad wants to eat a kebab,single,accepts,single,,N,a kebab,,accepts,,Nomad,,,1131,a kebab,b,html-keyboard-response,583,2.1.0,926877,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,SINGLE_CONTROL,accepts,single
Y/N,want,EX109,EXPERIMENTAL,James-the-Nomad wants to eat a peach or beef,disjunction,wants|accepts,AB,,NA,a peach,beef,wants,accepts,Nomad,,,2386,a peach or beef,b,html-keyboard-response,588,2.1.0,931771,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|accepts,AB
Y/N,want,EX101,EXPERIMENTAL,Lisa-the-Urbanite wants to eat a burger or a cookie,disjunction,wants|accepts,BA,,NA,a burger,a cookie,accepts,wants,Urbanite,,,1555,a burger or a cookie,b,html-keyboard-response,593,2.1.0,935835,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|accepts,BA
N,want,DC42,DOUBLE_CONTROL,Christopher-the-Nomad wants to eat a kebab or a burger,disjunction,accepts|accepts,AB,,N,a kebab,a burger,accepts,accepts,Nomad,,,1378,a kebab or a burger,b,html-keyboard-response,598,2.1.0,939722,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,accepts|accepts,AB
N,prefer,PD64,PREFER_DIFFERENT,Joshua-the-Urbanite prefers to eat a meatball rather than a cupcake,preference,accepts_vs_wants,BA,lt,N,a meatball,a cupcake,accepts,wants,Urbanite,,,2460,a meatball rather than a cupcake,n,html-keyboard-response,603,2.1.0,944690,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,accepts_vs_wants,BA
Y,prefer,PD55,PREFER_DIFFERENT,Sandra-the-Urbanite prefers to eat a meatloaf rather than a pear,preference,accepts_vs_dislikes,AB,gt,Y,a meatloaf,a pear,accepts,dislikes,Urbanite,,,3700,a meatloaf rather than a pear,b,html-keyboard-response,608,2.1.0,950897,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,PREFER_DIFFERENT,accepts_vs_dislikes,AB
Y,prefer,PD72,PREFER_DIFFERENT,David-the-Nomad prefers to eat a cranberry rather than a burger,preference,wants_vs_accepts,AB,gt,Y,a cranberry,a burger,wants,accepts,Nomad,,,1916,a cranberry rather than a burger,b,html-keyboard-response,613,2.1.0,955321,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,PREFER_DIFFERENT,wants_vs_accepts,AB
Y,want,DC48,DOUBLE_CONTROL,William-the-Nomad wants to eat a plum or a mango,disjunction,wants|wants,AB,,Y,a plum,a mango,wants,wants,Nomad,,,2126,a plum or a mango,b,html-keyboard-response,618,2.1.0,959956,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,DOUBLE_CONTROL,wants|wants,AB
N,prefer,PD75,PREFER_DIFFERENT,Mark-the-Nomad prefers to eat a sausage rather than a cherry,preference,accepts_vs_wants,BA,lt,N,a sausage,a cherry,accepts,wants,Nomad,,,1936,a sausage rather than a cherry,n,html-keyboard-response,623,2.1.0,964400,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,accepts_vs_wants,BA
N,want,DC23,DOUBLE_CONTROL,Karen-the-Urbanite wants to eat a cranberry or an apple,disjunction,dislikes|dislikes,BA,,N,a cranberry,an apple,dislikes,dislikes,Urbanite,,,1592,a cranberry or an apple,n,html-keyboard-response,628,2.1.0,968499,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,dislikes|dislikes,BA
N,prefer,PD59,PREFER_DIFFERENT,Jennifer-the-Urbanite prefers to eat a plum rather than beef,preference,dislikes_vs_accepts,BA,lt,N,a plum,beef,dislikes,accepts,Urbanite,,,1519,a plum rather than beef,n,html-keyboard-response,633,2.1.0,972526,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
Y/N,want,EX92,EXPERIMENTAL,Linda-the-Urbanite wants to eat a biscuit or a cranberry,disjunction,wants|dislikes,AB,,NA,a biscuit,a cranberry,wants,dislikes,Urbanite,,,1364,a biscuit or a cranberry,n,html-keyboard-response,638,2.1.0,976398,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|dislikes,AB
Y,want,DC35,DOUBLE_CONTROL,Mark-the-Urbanite wants to eat a cupcake or a cake,disjunction,wants|wants,BA,,Y,a cupcake,a cake,wants,wants,Urbanite,,,1421,a cupcake or a cake,b,html-keyboard-response,643,2.1.0,980328,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,DOUBLE_CONTROL,wants|wants,BA
Y/N,want,EX97,EXPERIMENTAL,Susan-the-Urbanite wants to eat caramel or ribs,disjunction,wants|accepts,AB,,NA,caramel,ribs,wants,accepts,Urbanite,,,2499,caramel or ribs,b,html-keyboard-response,648,2.1.0,985336,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|accepts,AB
N,prefer,PD69,PREFER_DIFFERENT,James-the-Nomad prefers to eat a donut rather than beef,preference,dislikes_vs_accepts,BA,lt,N,a donut,beef,dislikes,accepts,Nomad,,,1517,a donut rather than beef,n,html-keyboard-response,653,2.1.0,989360,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
Y/N,want,EX104,EXPERIMENTAL,Joshua-the-Nomad wants to eat a pear or a cupcake,disjunction,wants|dislikes,AB,,NA,a pear,a cupcake,wants,dislikes,Nomad,,,1529,a pear or a cupcake,n,html-keyboard-response,658,2.1.0,993397,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|dislikes,AB
N,prefer,PD70,PREFER_DIFFERENT,Emily-the-Nomad prefers to eat a brownie rather than a steak,preference,dislikes_vs_accepts,BA,lt,N,a brownie,a steak,dislikes,accepts,Nomad,,,1795,a brownie rather than a steak,n,html-keyboard-response,663,2.1.0,997701,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
N,want,DC40,DOUBLE_CONTROL,Charles-the-Nomad wants to eat a brownie or a chocolate,disjunction,dislikes|dislikes,BA,,N,a brownie,a chocolate,dislikes,dislikes,Nomad,,,1203,a brownie or a chocolate,n,html-keyboard-response,668,2.1.0,1001413,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,dislikes|dislikes,BA
Y,want,SC6,SINGLE_CONTROL,Nancy-the-Urbanite wants to eat a muffin,single,wants,single,,Y,a muffin,,wants,,Urbanite,,,1206,a muffin,b,html-keyboard-response,673,2.1.0,1005128,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,SINGLE_CONTROL,wants,single
Y/N,want,EX99,EXPERIMENTAL,Jennifer-the-Urbanite wants to eat beef or a brownie,disjunction,wants|accepts,BA,,NA,beef,a brownie,accepts,wants,Urbanite,,,1533,beef or a brownie,b,html-keyboard-response,678,2.1.0,1009169,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|accepts,BA
N,want,SC4,SINGLE_CONTROL,Barbara-the-Urbanite wants to eat a sausage,single,accepts,single,,N,a sausage,,accepts,,Urbanite,,,1177,a sausage,b,html-keyboard-response,683,2.1.0,1012854,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,SINGLE_CONTROL,accepts,single
N,want,DC20,DOUBLE_CONTROL,Mary-the-Urbanite wants to eat a strawberry or a peach,disjunction,dislikes|dislikes,AB,,N,a strawberry,a peach,dislikes,dislikes,Urbanite,,,1370,a strawberry or a peach,n,html-keyboard-response,688,2.1.0,1016731,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,dislikes|dislikes,AB
N,want,SC14,SINGLE_CONTROL,Matthew-the-Nomad wants to eat a sausage,single,accepts,single,,N,a sausage,,accepts,,Nomad,,,1145,a sausage,b,html-keyboard-response,693,2.1.0,1020385,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,SINGLE_CONTROL,accepts,single
N,prefer,PD71,PREFER_DIFFERENT,Jessica-the-Nomad prefers to eat a chocolate rather than a burger,preference,dislikes_vs_accepts,BA,lt,N,a chocolate,a burger,dislikes,accepts,Nomad,,,1748,a chocolate rather than a burger,n,html-keyboard-response,698,2.1.0,1024640,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
Y,prefer,PD67,PREFER_DIFFERENT,Betty-the-Nomad prefers to eat ribs rather than a muffin,preference,accepts_vs_dislikes,AB,gt,Y,ribs,a muffin,accepts,dislikes,Nomad,,,1824,ribs rather than a muffin,b,html-keyboard-response,703,2.1.0,1028972,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y,Y,PREFER_DIFFERENT,accepts_vs_dislikes,AB
N,want,DC39,DOUBLE_CONTROL,Joseph-the-Nomad wants to eat a donut or a brownie,disjunction,dislikes|dislikes,BA,,N,a donut,a brownie,dislikes,dislikes,Nomad,,,1763,a donut or a brownie,n,html-keyboard-response,708,2.1.0,1033242,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,DOUBLE_CONTROL,dislikes|dislikes,BA
Y/N,want,EX111,EXPERIMENTAL,Jessica-the-Nomad wants to eat a burger or a grapefruit,disjunction,wants|accepts,BA,,NA,a burger,a grapefruit,accepts,wants,Nomad,,,2160,a burger or a grapefruit,b,html-keyboard-response,713,2.1.0,1037910,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,Y/N,NA,EXPERIMENTAL,wants|accepts,BA
N,want,SC2,SINGLE_CONTROL,Christopher-the-Urbanite wants to eat a cranberry,single,dislikes,single,,N,a cranberry,,dislikes,,Urbanite,,,1107,a cranberry,n,html-keyboard-response,718,2.1.0,1041526,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,SINGLE_CONTROL,dislikes,single
N,prefer,PS82,PREFER_SAME,Christopher-the-Urbanite prefers to eat a biscuit rather than a cookie,preference,wants_vs_wants,AB,eq,N,a biscuit,a cookie,wants,wants,Urbanite,,,1775,a biscuit rather than a cookie,n,html-keyboard-response,723,2.1.0,1045809,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_SAME,wants_vs_wants,AB
N,prefer,PS79,PREFER_SAME,Joseph-the-Urbanite prefers to eat beef rather than pork,preference,accepts_vs_accepts,AB,eq,N,beef,pork,accepts,accepts,Urbanite,,,1642,beef rather than pork,n,html-keyboard-response,728,2.1.0,1049958,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_SAME,accepts_vs_accepts,AB
N,prefer,PD76,PREFER_DIFFERENT,Donald-the-Nomad prefers to eat a meatloaf rather than an orange,preference,accepts_vs_wants,BA,lt,N,a meatloaf,an orange,accepts,wants,Nomad,,,1994,a meatloaf rather than an orange,n,html-keyboard-response,733,2.1.0,1054459,EXPERIMENTAL,5e11ff6f814bba8816cca900,2543,f1a9a8dd-9707-40ce-83d9-cc976b64be4c,2416,1768870489277,1768871573376,00:18:04,FINISHED,696e824812786c0f3a8b7680,696ece01f86e1edd1c0c3a54,N,N,PREFER_DIFFERENT,accepts_vs_wants,BA
